year,state,chamber,district,metric,value,pct
2022,AZ,,12,asian_vap,15250,8.03
2022,AZ,,12,biden_2020,,58.49
2022,AZ,,12,black_vap,11072,5.83
2022,AZ,,12,hispanic_vap,32958,17.36
2022,AZ,,12,native_vap,3797,2
2022,AZ,,12,other_vap,889,0.47
2022,AZ,,12,pacisl_vap,452,0.24
2022,AZ,,12,pvi,D+9.4,
2022,AZ,,12,total_pop,238923,
2022,AZ,,12,total_vap,189809,100
2022,AZ,,12,trump_2020,,39.84
2022,AZ,,12,two_plus_vap,7156,3.77
2022,AZ,,12,white_vap,118235,62.29
2022,AZ,,13,asian_vap,20217,11.11
2022,AZ,,13,biden_2020,,50.73
2022,AZ,,13,black_vap,8683,4.77
2022,AZ,,13,hispanic_vap,33790,18.56
2022,AZ,,13,native_vap,1846,1.01
2022,AZ,,13,other_vap,722,0.4
2022,AZ,,13,pacisl_vap,379,0.21
2022,AZ,,13,pvi,R+6.2,
2022,AZ,,13,total_pop,237866,
2022,AZ,,13,total_vap,182046,100
2022,AZ,,13,trump_2020,,47.8
2022,AZ,,13,two_plus_vap,5925,3.25
2022,AZ,,13,white_vap,110484,60.69
2022,AZ,,14,asian_vap,11654,6.89
2022,AZ,,14,biden_2020,,41.95
2022,AZ,,14,black_vap,6168,3.64
2022,AZ,,14,hispanic_vap,24758,14.63
2022,AZ,,14,native_vap,1174,0.69
2022,AZ,,14,other_vap,756,0.45
2022,AZ,,14,pacisl_vap,370,0.22
2022,AZ,,14,pvi,R+23.3,
2022,AZ,,14,total_pop,241692,
2022,AZ,,14,total_vap,169224,100
2022,AZ,,14,trump_2020,,56.44
2022,AZ,,14,two_plus_vap,6164,3.64
2022,AZ,,14,white_vap,118180,69.84
2022,AZ,,15,asian_vap,4764,2.83
2022,AZ,,15,biden_2020,,35.95
2022,AZ,,15,black_vap,6476,3.84
2022,AZ,,15,hispanic_vap,29932,17.75
2022,AZ,,15,native_vap,1196,0.71
2022,AZ,,15,other_vap,646,0.38
2022,AZ,,15,pacisl_vap,467,0.28
2022,AZ,,15,pvi,R+34.4,
2022,AZ,,15,total_pop,240028,
2022,AZ,,15,total_vap,168589,100
2022,AZ,,15,trump_2020,,62.44
2022,AZ,,15,two_plus_vap,5985,3.55
2022,AZ,,15,white_vap,119123,70.66
2022,AZ,,16,asian_vap,3278,1.82
2022,AZ,,16,biden_2020,,47.46
2022,AZ,,16,black_vap,10154,5.63
2022,AZ,,16,hispanic_vap,55678,30.89
2022,AZ,,16,native_vap,11878,6.59
2022,AZ,,16,other_vap,710,0.39
2022,AZ,,16,pacisl_vap,454,0.25
2022,AZ,,16,pvi,R+11.0,
2022,AZ,,16,total_pop,236940,
2022,AZ,,16,total_vap,180256,100
2022,AZ,,16,trump_2020,,51.04
2022,AZ,,16,two_plus_vap,6646,3.69
2022,AZ,,16,white_vap,91458,50.74
2022,AZ,,17,asian_vap,6018,3.13
2022,AZ,,17,biden_2020,,47.68
2022,AZ,,17,black_vap,4523,2.35
2022,AZ,,17,hispanic_vap,31507,16.37
2022,AZ,,17,native_vap,1034,0.54
2022,AZ,,17,other_vap,838,0.44
2022,AZ,,17,pacisl_vap,287,0.15
2022,AZ,,17,pvi,R+12.3,
2022,AZ,,17,total_pop,239669,
2022,AZ,,17,total_vap,192421,100
2022,AZ,,17,trump_2020,,50.91
2022,AZ,,17,two_plus_vap,6457,3.36
2022,AZ,,17,white_vap,141757,73.67
2022,AZ,,18,asian_vap,8240,4.04
2022,AZ,,18,biden_2020,,61.82
2022,AZ,,18,black_vap,7234,3.55
2022,AZ,,18,hispanic_vap,39599,19.44
2022,AZ,,18,native_vap,1677,0.82
2022,AZ,,18,other_vap,1019,0.5
2022,AZ,,18,pacisl_vap,428,0.21
2022,AZ,,18,pvi,D+15.6,
2022,AZ,,18,total_pop,243411,
2022,AZ,,18,total_vap,203739,100
2022,AZ,,18,trump_2020,,36.79
2022,AZ,,18,two_plus_vap,7436,3.65
2022,AZ,,18,white_vap,138106,67.79
2022,AZ,,19,asian_vap,3226,1.77
2022,AZ,,19,biden_2020,,38.74
2022,AZ,,19,black_vap,4906,2.68
2022,AZ,,19,hispanic_vap,46654,25.53
2022,AZ,,19,native_vap,1455,0.8
2022,AZ,,19,other_vap,777,0.43
2022,AZ,,19,pacisl_vap,395,0.22
2022,AZ,,19,pvi,R+27.8,
2022,AZ,,19,total_pop,230476,
2022,AZ,,19,total_vap,182745,100
2022,AZ,,19,trump_2020,,59.65
2022,AZ,,19,two_plus_vap,5994,3.28
2022,AZ,,19,white_vap,119338,65.3
2022,AZ,,2,asian_vap,10365,5.38
2022,AZ,,2,biden_2020,,48.08
2022,AZ,,2,black_vap,8194,4.25
2022,AZ,,2,hispanic_vap,38110,19.78
2022,AZ,,2,native_vap,2186,1.13
2022,AZ,,2,other_vap,927,0.48
2022,AZ,,2,pacisl_vap,308,0.16
2022,AZ,,2,pvi,R+11.0,
2022,AZ,,2,total_pop,246674,
2022,AZ,,2,total_vap,192714,100
2022,AZ,,2,trump_2020,,50.14
2022,AZ,,2,two_plus_vap,6826,3.54
2022,AZ,,2,white_vap,125798,65.28
2022,AZ,,20,asian_vap,5862,3.06
2022,AZ,,20,biden_2020,,75.13
2022,AZ,,20,black_vap,6162,3.22
2022,AZ,,20,hispanic_vap,93849,48.97
2022,AZ,,20,native_vap,6082,3.17
2022,AZ,,20,other_vap,712,0.37
2022,AZ,,20,pacisl_vap,277,0.14
2022,AZ,,20,pvi,D+44.3,
2022,AZ,,20,total_pop,238486,
2022,AZ,,20,total_vap,191639,100
2022,AZ,,20,trump_2020,,23.45
2022,AZ,,20,two_plus_vap,4935,2.58
2022,AZ,,20,white_vap,73760,38.49
2022,AZ,,21,asian_vap,3795,2.08
2022,AZ,,21,biden_2020,,63.95
2022,AZ,,21,black_vap,8337,4.57
2022,AZ,,21,hispanic_vap,99589,54.54
2022,AZ,,21,native_vap,2177,1.19
2022,AZ,,21,other_vap,744,0.41
2022,AZ,,21,pacisl_vap,345,0.19
2022,AZ,,21,pvi,D+21.5,
2022,AZ,,21,total_pop,244412,
2022,AZ,,21,total_vap,182589,100
2022,AZ,,21,trump_2020,,34.48
2022,AZ,,21,two_plus_vap,4568,2.5
2022,AZ,,21,white_vap,63034,34.52
2022,AZ,,22,asian_vap,5593,3.4
2022,AZ,,22,biden_2020,,66.68
2022,AZ,,22,black_vap,15186,9.23
2022,AZ,,22,hispanic_vap,98858,60.06
2022,AZ,,22,native_vap,1981,1.2
2022,AZ,,22,other_vap,857,0.52
2022,AZ,,22,pacisl_vap,621,0.38
2022,AZ,,22,pvi,D+27.9,
2022,AZ,,22,total_pop,238320,
2022,AZ,,22,total_vap,164609,100
2022,AZ,,22,trump_2020,,31.78
2022,AZ,,22,two_plus_vap,3915,2.38
2022,AZ,,22,white_vap,37598,22.84
2022,AZ,,23,asian_vap,2539,1.5
2022,AZ,,23,biden_2020,,55.41
2022,AZ,,23,black_vap,5923,3.5
2022,AZ,,23,hispanic_vap,99047,58.6
2022,AZ,,23,native_vap,7870,4.66
2022,AZ,,23,other_vap,558,0.33
2022,AZ,,23,pacisl_vap,244,0.14
2022,AZ,,23,pvi,D+7.6,
2022,AZ,,23,total_pop,232246,
